"N","Time","avg(X)","avg(Y)","avg(Z)","avg(id)","avg(melt_CaO)","avg(melt_FeO)","avg(melt_MgO)","avg(melt_SiO2)","avg(melt_presence)","avg(peridotite)","avg(porosity)","avg(residue_CaO)","avg(residue_FeO)","avg(residue_MgO)","avg(residue_SiO2)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(id)","max(melt_CaO)","max(melt_FeO)","max(melt_MgO)","max(melt_SiO2)","max(melt_presence)","max(peridotite)","max(porosity)","max(residue_CaO)","max(residue_FeO)","max(residue_MgO)","max(residue_SiO2)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(id)","med(melt_CaO)","med(melt_FeO)","med(melt_MgO)","med(melt_SiO2)","med(melt_presence)","med(peridotite)","med(porosity)","med(residue_CaO)","med(residue_FeO)","med(residue_MgO)","med(residue_SiO2)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(id)","min(melt_CaO)","min(melt_FeO)","min(melt_MgO)","min(melt_SiO2)","min(melt_presence)","min(peridotite)","min(porosity)","min(residue_CaO)","min(residue_FeO)","min(residue_MgO)","min(residue_SiO2)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(id)","q1(melt_CaO)","q1(melt_FeO)","q1(melt_MgO)","q1(melt_SiO2)","q1(melt_presence)","q1(peridotite)","q1(porosity)","q1(residue_CaO)","q1(residue_FeO)","q1(residue_MgO)","q1(residue_SiO2)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(id)","q3(melt_CaO)","q3(melt_FeO)","q3(melt_MgO)","q3(melt_SiO2)","q3(melt_presence)","q3(peridotite)","q3(porosity)","q3(residue_CaO)","q3(residue_FeO)","q3(residue_MgO)","q3(residue_SiO2)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(id)","std(melt_CaO)","std(melt_FeO)","std(melt_MgO)","std(melt_SiO2)","std(melt_presence)","std(peridotite)","std(porosity)","std(residue_CaO)","std(residue_FeO)","std(residue_MgO)","std(residue_SiO2)","std(vtkOriginalPointIds)","vtkValidPointMask"
9,1.0805e+05,500,1.3407e+05,0,5,1.5417,2.5199,13.189,13.534,1,0.53748,0.68334,1.1618,3.2613,37.283,24.462,4,900,1.3407e+05,0,9,1.5417,2.5199,13.189,13.534,1,0.53748,0.68334,1.1618,3.2613,37.283,24.462,8,500,1.3407e+05,0,5,1.5417,2.5199,13.189,13.534,1,0.53748,0.68334,1.1618,3.2613,37.283,24.462,4,100,1.3407e+05,0,1,1.5417,2.5199,13.189,13.534,1,0.53748,0.68334,1.1617,3.2613,37.283,24.462,0,250,1.3407e+05,0,2.5,1.5417,2.5199,13.189,13.534,1,0.53748,0.68334,1.1618,3.2613,37.283,24.462,1,700,1.3407e+05,0,7,1.5417,2.5199,13.189,13.534,1,0.53748,0.68334,1.1618,3.2613,37.283,24.462,6,273.86,0,0,2.7386,9.1514e-06,8.2801e-06,4.811e-05,1.4612e-05,0,0,0,7.8266e-06,6.9262e-06,4.3275e-05,1.1788e-05,2.7386,1
9,1.0913e+05,500,1.352e+05,0,5,1.542,2.5336,13.301,13.597,1,0.54089,0.68776,1.1598,3.2454,37.163,24.387,4,900,1.352e+05,0,9,1.542,2.5336,13.301,13.597,1,0.54089,0.68776,1.1598,3.2454,37.164,24.387,8,500,1.352e+05,0,5,1.542,2.5336,13.301,13.597,1,0.54089,0.68776,1.1598,3.2454,37.163,24.387,4,100,1.352e+05,0,1,1.542,2.5336,13.301,13.597,1,0.54089,0.68776,1.1598,3.2454,37.163,24.387,0,250,1.352e+05,0,2.5,1.542,2.5336,13.301,13.597,1,0.54089,0.68776,1.1598,3.2454,37.163,24.387,1,700,1.352e+05,0,7,1.542,2.5336,13.301,13.597,1,0.54089,0.68776,1.1598,3.2454,37.163,24.387,6,273.86,0,0,2.7386,8.1576e-06,1.2716e-06,3.7378e-05,1.213e-05,0,0,3.1414e-08,8.2414e-06,1.3167e-06,4.0461e-05,1.1085e-05,2.7386,1
9,1.1003e+05,500,1.3615e+05,0,5,1.5548,2.5505,13.342,13.674,1,0.54373,0.69143,1.1455,3.2271,37.127,24.307,4,900,1.3615e+05,0,9,1.5548,2.5505,13.342,13.674,1,0.54373,0.69143,1.1455,3.2271,37.127,24.307,8,500,1.3615e+05,0,5,1.5548,2.5505,13.342,13.674,1,0.54373,0.69143,1.1455,3.2271,37.127,24.307,4,100,1.3615e+05,0,1,1.5548,2.5505,13.342,13.674,1,0.54373,0.69143,1.1455,3.2271,37.127,24.307,0,250,1.3615e+05,0,2.5,1.5548,2.5505,13.342,13.674,1,0.54373,0.69143,1.1455,3.2271,37.127,24.307,1,700,1.3615e+05,0,7,1.5548,2.5505,13.342,13.674,1,0.54373,0.69143,1.1455,3.2271,37.127,24.307,6,273.86,0,0,2.7386,6.8221e-07,2.7816e-07,3.6e-06,1.2414e-06,0,0,0,2.7032e-06,6.9283e-07,1.3886e-05,3.8673e-06,2.7386,1
9,1.1111e+05,500,1.3727e+05,0,5,1.5654,2.5675,13.422,13.762,1,0.54715,0.6958,1.1352,3.2103,37.046,24.22,4,900,1.3727e+05,0,9,1.5655,2.5675,13.422,13.762,1,0.54715,0.6958,1.1352,3.2103,37.046,24.22,8,500,1.3727e+05,0,5,1.5654,2.5675,13.422,13.762,1,0.54715,0.6958,1.1352,3.2103,37.046,24.22,4,100,1.3727e+05,0,1,1.5654,2.5675,13.422,13.762,1,0.54715,0.6958,1.1351,3.2103,37.045,24.22,0,250,1.3727e+05,0,2.5,1.5654,2.5675,13.422,13.762,1,0.54715,0.6958,1.1352,3.2103,37.046,24.22,1,700,1.3727e+05,0,7,1.5654,2.5675,13.422,13.762,1,0.54715,0.6958,1.1352,3.2103,37.046,24.22,6,273.86,0,0,2.7386,2.8328e-05,8.3572e-06,0.00013434,4.3886e-05,0,0,0,2.4822e-05,6.1741e-06,0.00012212,3.4694e-05,2.7386,1
9,1.1201e+05,500,1.3821e+05,0,5,1.5761,2.5812,13.481,13.837,1,0.55001,0.69941,1.1246,3.1968,36.987,24.145,4,900,1.3821e+05,0,9,1.5761,2.5812,13.481,13.837,1,0.55001,0.69941,1.1246,3.1968,36.987,24.145,8,500,1.3821e+05,0,5,1.5761,2.5812,13.481,13.837,1,0.55001,0.69941,1.1245,3.1968,36.987,24.145,4,100,1.3821e+05,0,1,1.5761,2.5812,13.48,13.837,1,0.55001,0.69941,1.1245,3.1968,36.987,24.145,0,250,1.3821e+05,0,2.5,1.5761,2.5812,13.481,13.837,1,0.55001,0.69941,1.1245,3.1968,36.987,24.145,1,700,1.3821e+05,0,7,1.5761,2.5812,13.481,13.837,1,0.55001,0.69941,1.1245,3.1968,36.987,24.145,6,273.86,0,0,2.7386,2.9705e-06,1.568e-06,1.3738e-05,5.1798e-06,0,0,0,1.7372e-06,9.4619e-07,8.3139e-06,2.7161e-06,2.7386,1
9,1.1309e+05,500,1.3933e+05,0,5,1.5936,2.5978,13.527,13.934,1,0.55345,0.70372,1.1061,3.1793,36.943,24.045,4,900,1.3933e+05,0,9,1.5936,2.5978,13.527,13.934,1,0.55345,0.70372,1.1061,3.1793,36.943,24.045,8,500,1.3933e+05,0,5,1.5936,2.5978,13.527,13.934,1,0.55345,0.70372,1.1061,3.1793,36.943,24.045,4,100,1.3933e+05,0,1,1.5935,2.5978,13.527,13.934,1,0.55345,0.70372,1.106,3.1793,36.943,24.045,0,250,1.3933e+05,0,2.5,1.5936,2.5978,13.527,13.934,1,0.55345,0.70372,1.106,3.1793,36.943,24.045,1,700,1.3933e+05,0,7,1.5936,2.5978,13.527,13.934,1,0.55345,0.70372,1.1061,3.1793,36.943,24.045,6,273.86,0.0082351,0,2.7386,8.6543e-06,1.9948e-06,3.9745e-05,1.4674e-05,0,0,0,8.7617e-06,1.8621e-06,4.0928e-05,1.4127e-05,2.7386,1
9,1.1418e+05,500,1.4045e+05,0,5,1.6068,2.6164,13.591,14.024,1,0.55688,0.708,1.093,3.1607,36.879,23.956,4,900,1.4045e+05,0,9,1.6068,2.6164,13.592,14.024,1,0.55688,0.708,1.093,3.1608,36.879,23.956,8,500,1.4045e+05,0,5,1.6068,2.6164,13.591,14.024,1,0.55688,0.708,1.093,3.1607,36.879,23.956,4,100,1.4045e+05,0,1,1.6068,2.6163,13.591,14.024,1,0.55688,0.708,1.093,3.1607,36.879,23.956,0,250,1.4045e+05,0,2.5,1.6068,2.6164,13.591,14.024,1,0.55688,0.708,1.093,3.1607,36.879,23.956,1,700,1.4045e+05,0,7,1.6068,2.6164,13.591,14.024,1,0.55688,0.708,1.093,3.1607,36.879,23.956,6,273.86,0,0,2.7386,6.5782e-06,5.5075e-06,3.4806e-05,9.3129e-06,0,0,3.1414e-08,6.4285e-06,6.0246e-06,3.6908e-05,8.0984e-06,2.7386,1
9,1.1509e+05,500,1.4138e+05,0,5,1.6125,2.628,13.672,14.091,1,0.55975,0.71154,1.0877,3.1492,36.797,23.889,4,900,1.4138e+05,0,9,1.6125,2.628,13.672,14.091,1,0.55975,0.71154,1.0877,3.1492,36.797,23.889,8,500,1.4138e+05,0,5,1.6125,2.628,13.672,14.091,1,0.55975,0.71154,1.0877,3.1492,36.797,23.889,4,100,1.4138e+05,0,1,1.6125,2.628,13.672,14.091,1,0.55975,0.71154,1.0876,3.1492,36.797,23.889,0,250,1.4138e+05,0,2.5,1.6125,2.628,13.672,14.091,1,0.55975,0.71154,1.0877,3.1492,36.797,23.889,1,700,1.4138e+05,0,7,1.6125,2.628,13.672,14.091,1,0.55975,0.71154,1.0877,3.1492,36.797,23.889,6,273.86,0,0,2.7386,9.1793e-06,1.4255e-06,4.2626e-05,1.4724e-05,0,0,3.1414e-08,9.1756e-06,6.2829e-07,4.2654e-05,1.3491e-05,2.7386,1
9,1.1617e+05,500,1.425e+05,0,5,1.6197,2.6409,13.766,14.171,1,0.56323,0.71576,1.0805,3.1366,36.701,23.809,4,900,1.425e+05,0,9,1.6197,2.6409,13.766,14.171,1,0.56323,0.71576,1.0806,3.1366,36.701,23.809,8,500,1.425e+05,0,5,1.6197,2.6409,13.766,14.171,1,0.56323,0.71576,1.0805,3.1366,36.701,23.809,4,100,1.425e+05,0,1,1.6197,2.6409,13.766,14.171,1,0.56323,0.71576,1.0805,3.1366,36.701,23.809,0,250,1.425e+05,0,2.5,1.6197,2.6409,13.766,14.171,1,0.56323,0.71576,1.0805,3.1366,36.701,23.809,1,700,1.425e+05,0,7,1.6197,2.6409,13.766,14.171,1,0.56323,0.71576,1.0805,3.1366,36.701,23.809,6,273.86,0,0,2.7386,9.0336e-06,2.7496e-06,3.9685e-05,1.025e-05,0,0,0,8.994e-06,2.4004e-06,4.1526e-05,8.9857e-06,2.7386,1
9,1.1708e+05,500,1.4342e+05,0,5,1.6362,2.6602,13.789,14.253,1,0.56608,0.71923,1.0643,3.1174,36.68,23.729,4,900,1.4342e+05,0,9,1.6362,2.6602,13.789,14.253,1,0.56608,0.71923,1.0643,3.1174,36.68,23.729,8,500,1.4342e+05,0,5,1.6362,2.6602,13.789,14.253,1,0.56608,0.71923,1.0643,3.1174,36.68,23.729,4,100,1.4342e+05,0,1,1.6362,2.6602,13.789,14.253,1,0.56608,0.71923,1.0642,3.1174,36.68,23.729,0,250,1.4342e+05,0,2.5,1.6362,2.6602,13.789,14.253,1,0.56608,0.71923,1.0643,3.1174,36.68,23.729,1,700,1.4342e+05,0,7,1.6362,2.6602,13.789,14.253,1,0.56608,0.71923,1.0643,3.1174,36.68,23.729,6,273.86,0,0,2.7386,7.4064e-06,2.6656e-07,3.3086e-05,1.2893e-05,0,0,0,7.0311e-06,6.1688e-07,3.163e-05,1.1203e-05,2.7386,1
9,1.1817e+05,500,1.4453e+05,0,5,1.6571,2.6839,13.81,14.353,1,0.56953,0.72338,1.0438,3.0938,36.661,23.631,4,900,1.4453e+05,0,9,1.6571,2.6839,13.81,14.353,1,0.56953,0.72338,1.0438,3.0938,36.661,23.631,8,500,1.4453e+05,0,5,1.6571,2.6839,13.81,14.353,1,0.56953,0.72338,1.0438,3.0938,36.661,23.631,4,100,1.4453e+05,0,1,1.657,2.6839,13.81,14.353,1,0.56953,0.72338,1.0437,3.0937,36.661,23.631,0,250,1.4453e+05,0,2.5,1.6571,2.6839,13.81,14.353,1,0.56953,0.72338,1.0437,3.0938,36.661,23.631,1,700,1.4453e+05,0,7,1.6571,2.6839,13.81,14.353,1,0.56953,0.72338,1.0438,3.0938,36.661,23.631,6,273.86,0,0,2.7386,2.6302e-05,2.441e-05,0.00013923,3.9752e-05,0,0,2.9802e-08,2.5263e-05,2.4469e-05,0.00014252,3.4514e-05,2.7386,1
9,1.1908e+05,500,1.4545e+05,0,5,1.671,2.6976,13.849,14.431,1,0.57248,0.72684,1.03,3.0806,36.622,23.554,4,900,1.4545e+05,0,9,1.6711,2.6976,13.85,14.431,1,0.57248,0.72684,1.0301,3.0806,36.622,23.554,8,500,1.4545e+05,0,5,1.671,2.6976,13.849,14.431,1,0.57248,0.72684,1.03,3.0806,36.622,23.554,4,100,1.4545e+05,0,1,1.6709,2.6975,13.849,14.43,1,0.57248,0.72683,1.03,3.0806,36.622,23.554,0,250,1.4545e+05,0,2.5,1.671,2.6976,13.849,14.431,1,0.57248,0.72683,1.03,3.0806,36.622,23.554,1,700,1.4545e+05,0,7,1.671,2.6976,13.849,14.431,1,0.57248,0.72684,1.03,3.0806,36.622,23.554,6,273.86,0,0,2.7386,4.3498e-05,2.3114e-05,0.00021412,7.242e-05,0,2.9802e-08,5.9605e-08,4.2229e-05,2.0345e-05,0.00021647,6.4049e-05,2.7386,1
9,1.2017e+05,500,1.4656e+05,0,5,1.6731,2.7115,13.96,14.501,1,0.5759,0.73089,1.0278,3.0662,36.511,23.483,4,900,1.4656e+05,0,9,1.6732,2.7115,13.96,14.501,1,0.5759,0.73089,1.0278,3.0662,36.511,23.483,8,500,1.4656e+05,0,5,1.6731,2.7115,13.96,14.501,1,0.5759,0.73089,1.0278,3.0662,36.511,23.483,4,100,1.4656e+05,0,1,1.6731,2.7115,13.96,14.501,1,0.5759,0.73089,1.0278,3.0662,36.511,23.483,0,250,1.4656e+05,0,2.5,1.6731,2.7115,13.96,14.501,1,0.5759,0.73089,1.0278,3.0662,36.511,23.483,1,700,1.4656e+05,0,7,1.6731,2.7115,13.96,14.501,1,0.5759,0.73089,1.0278,3.0662,36.511,23.483,6,273.86,0,0,2.7386,2.2475e-06,2.5288e-06,1.2828e-05,3.5184e-06,0,2.9802e-08,1.9868e-08,2.2931e-06,2.7994e-06,1.491e-05,3.3642e-06,2.7386,1
9,1.2108e+05,500,1.4747e+05,0,5,1.6928,2.7261,13.97,14.586,1,0.57878,0.73426,1.0084,3.0522,36.502,23.4,4,900,1.4747e+05,0,9,1.6928,2.7261,13.97,14.586,1,0.57878,0.73426,1.0084,3.0523,36.502,23.4,8,500,1.4747e+05,0,5,1.6928,2.7261,13.97,14.586,1,0.57878,0.73426,1.0084,3.0522,36.502,23.4,4,100,1.4747e+05,0,1,1.6928,2.7261,13.97,14.586,1,0.57878,0.73426,1.0084,3.0522,36.502,23.4,0,250,1.4747e+05,0,2.5,1.6928,2.7261,13.97,14.586,1,0.57878,0.73426,1.0084,3.0522,36.502,23.4,1,700,1.4747e+05,0,7,1.6928,2.7261,13.97,14.586,1,0.57878,0.73426,1.0084,3.0522,36.502,23.4,6,273.86,0.0078125,0,2.7386,2.607e-06,1.4509e-05,1.9897e-05,8.2591e-07,0,0,3.1414e-08,2.2132e-06,1.4369e-05,1.9337e-05,2.2923e-06,2.7386,1
9,1.2217e+05,500,1.4857e+05,0,5,1.7083,2.7444,14.016,14.676,1,0.58234,0.73831,0.99318,3.0343,36.456,23.311,4,900,1.4857e+05,0,9,1.7083,2.7444,14.016,14.676,1,0.58234,0.73831,0.99318,3.0343,36.456,23.311,8,500,1.4857e+05,0,5,1.7083,2.7444,14.016,14.676,1,0.58234,0.73831,0.99318,3.0343,36.456,23.311,4,100,1.4857e+05,0,1,1.7083,2.7444,14.016,14.676,1,0.58234,0.73831,0.99318,3.0343,36.456,23.311,0,250,1.4857e+05,0,2.5,1.7083,2.7444,14.016,14.676,1,0.58234,0.73831,0.99318,3.0343,36.456,23.311,1,700,1.4857e+05,0,7,1.7083,2.7444,14.016,14.676,1,0.58234,0.73831,0.99318,3.0343,36.456,23.311,6,273.86,0.0052083,0,2.7386,1.09e-06,1.0795e-06,6.1518e-06,1.8739e-06,0,0,3.1414e-08,1.0918e-06,1.0581e-06,6.877e-06,1.5895e-06,2.7386,1
9,1.2308e+05,500,1.4948e+05,0,5,1.7162,2.7566,14.078,14.742,1,0.58515,0.74157,0.98532,3.0221,36.395,23.246,4,900,1.4948e+05,0,9,1.7162,2.7566,14.078,14.742,1,0.58515,0.74157,0.98537,3.0221,36.395,23.246,8,500,1.4948e+05,0,5,1.7162,2.7566,14.078,14.742,1,0.58515,0.74157,0.98531,3.0221,36.395,23.246,4,100,1.4948e+05,0,1,1.7162,2.7566,14.077,14.742,1,0.58515,0.74157,0.9853,3.0221,36.394,23.246,0,250,1.4948e+05,0,2.5,1.7162,2.7566,14.077,14.742,1,0.58515,0.74157,0.98531,3.0221,36.395,23.246,1,700,1.4948e+05,0,7,1.7162,2.7566,14.078,14.742,1,0.58515,0.74157,0.98531,3.0221,36.395,23.246,6,273.86,0,0,2.7386,2.0828e-05,5.9628e-06,0.00010031,3.3974e-05,0,0,3.1414e-08,2.0208e-05,4.7992e-06,0.00010022,3.03e-05,2.7386,1
0,1.2417e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2508e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2618e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2709e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2818e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2909e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.311e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3201e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.331e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3401e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.351e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3602e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3711e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3802e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3911e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4003e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4112e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4203e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4312e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4404e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
